split,review_id,user_id,item_id,category,stars,predicted_rating,rounded_prediction,absolute_error,text,quality_signal,service_signal,value_signal,usability_signal,strictness,tone,review_length
train,606,AEZCRZ4U7XUN6Y6ASKYVFSWYBJKA,7319988adc810d7b7f3d1cfd5d48dae1,Books & Stationery,1.0,3.9998177504229027,4.0,2.9998177504229027,Bought this book as a Christmas gift for our Grandaughter & we are disgusted that the Author had to make her political view published in it! So distasteful & sad! And a paragraph that Dumbledore liked men!!!,-0.5017,0.0,0.0,-0.5017,0.36951500000000004,5,35
train,45,AFGOAZE7V5WHHIB7X4UQM3PXWPUA,e395e4a90f90102fc18c2a5b34c72642,Grocery & Gourmet Food,1.0,3.988866392201642,4.0,2.988866392201642,"I think I might’ve gotten an old box of candy. While I paid $25 for it, when it arrived there was a little orange sticker on it. The sticker said 9.99. It’s almost like it was on clearance. I sure hope it’s not old because I was going to give it to her as a gift and now I’m not sure what to do.",0.8911,0.0,0.0,0.8911,0.08625,2,69
train,415,AGLC64ZS7ZTTYGAJGBBIKIF6573A,68c1d970626e89b0b3142adec554e951,Electronics,1.0,3.8709512578118224,4.0,2.8709512578118224,When ever I turn on my laptop the screen turns black.,0.0,0.0,0.0,0.0,0.013749999999999998,0,11
train,199,AFVZXY25ZN4IZZLJUAOBC5LTYFAA,c3eaaec2fd7ab26c3cd63062df50bde8,"Sports, Outdoors & Travel",2.0,3.9768655048153785,4.0,1.9768655048153785,"My dog loves to play fetch and admittedly, will give these a few chews before she drops them upon return. They basically last 3 fetching "" sessions"" before they come apart. Would like something more durable.",0.3612,0.2640428571428571,0.0,0.8225,0.14660714285714285,3,35
train,787,AHNMTUOVL32WDGXQLTRGGLB5H53A,9c07b4b1f9c7da0eba99daa891fb4b97,Books & Stationery,2.0,3.962226731514632,4.0,1.9622267315146318,I bought the book for my granddaughter--an AVID Harry Potter fan--and took a glance at one page and ALREADY found an error. Not sure I even want to give it to her now. :-(,-0.5348,0.0,0.0,-0.5348,0.28441000000000005,3,35
train,1055,AEWZLRKGBTIH6KLRHO7AACZNFRDA,016e0abe513042f7f29af7ad9f602c51,Electronics,2.0,3.866242723910447,4.0,1.8662427239104469,I returned the laptop immediately after I opened it. It looks great and feels well made. But realize that if your security information on your microsft account is not up to date you will not be able to use the laptop. Pretty dumb if you ask me.,0.7351,-0.3446808510638298,0.0,0.4767,0.05875,2,47
train,113,AFW2VWI3YGI4NKJ2BCSPSJTFHOQA,4968056bf698f56f31197ace3cdbe7f1,"Sports, Outdoors & Travel",3.0,4.5244047482285525,5.0,1.5244047482285525,"Setting up the tent is easy and the space is AMAZING!! I am 5'3"" and I can stand straight up in the middle. HOWEVER, the poles need to be stronger/ thicker!! We had a quick thunderstorm sweep through with 60mph winds and it snapped the fiberglass poles on the same side of the tent. That then led to the inside of the tent getting wet. They are not able to be fixed easily and I ended up with fiberglass shards in my hands. Other than that, the tent is VERY amazing and worth it! Once we were able to DIY fix the poles for the weekend, the tent stayed dry!I suggest that if possible to purchase other poles that could stand up to weather, with that I definitely recommend this tent.",0.977,0.0,0.9251,0.8409,0.25,4,132
train,631,AFAXX6MRUYLUOHJUSV3FQNE6RRWA,9f643ab447659016e575e008ed3b193a,"Toys, Games & Hobbies",3.0,4.382151160683141,4.0,1.382151160683141,protected me from a busted elbow,0.4404,0.0,0.0,0.4404,0.0075,0,6
train,1058,AGO5VNEVMRF4K52O6QTL766FGMVQ,3213f6b94a664a323d56d76661992ad3,Clothing & Accessories,3.0,4.332578406790752,4.0,1.332578406790752,"These are most pointless sunglasses I have ever had. You know how those cardboard 3D glasses you get in a cereal box (or used to...) are super flat in the front and sit far away from the outside edges of each eye? Yeah, these are worse. Bright day coming up? Want to block out the rays? Don't use these. They're about as effective as lipstick on a pig. It's like you put the tip of your nose against a slightly tinted window pane and then somehow that stayed attached to your face.Not giving it a lower rating because they don't scratch as easily as other sunglasses at a similar price. And so far the UV/Tinting hasn't bubbled.I've relegated these to my 'drawer of misfits' along with a random sock, dried out ChapStick, and a cotton ball. They're all about equally useful.",0.7760999999999999,0.5994,0.169,0.0,0.15,4,144
train,201,AHCC6PRA3QM3ZYJVPE5KUDAIYMZQ,a07c175c9422fd4b41ddea9485bf57d5,Beauty & Personal Care,4.0,4.859698024955095,5.0,0.8596980249550947,I bought this for my husband and he loves it. And I have to admit I use it too! Smooth shave.,0.6996,0.0,0.0,0.2714,0.051250000000000004,3,21
train,236,AEBAAPVQN3L3USAWGTXCO74Q6ADQ,093a843a17218d673caa655cbfbf7749,"Health, Wellness & Medical Supplies",4.0,3.1865080963192334,3.0,0.8134919036807666,"Hello, of the pump wasn’t defective , I would’ve given it 5 stars…it won’t pump product out. Other than that I poured slowly on area where pain is and product works fine only issue is the defective pump.",-1.0,0.0,0.0,-1.0,0.590189756097561,5,41
train,80,AEFTNYLTI4W2FNHR7FGSD3XQJDIQ,cbe6b13a355d4c69a8beb53a0be78095,Beauty & Personal Care,4.0,4.795150934651701,5.0,0.7951509346517014,"Huele muy bien, es de la únicas marcas de shampoo que me mantiene bonito el cabello",0.0,0.0,0.0,0.0,0.02,3,16
train,781,AF4GKHZC6R247CV3DVKR3X2PV5OA,611d45a2f804d92ef79456f7a0e7ffce,Clothing & Accessories,5.0,4.489408050211771,4.0,0.5105919497882292,"These jeans appear to be a good value. They are also fairly comfortable.The problem is that all three pairs I've had developed a tear in the exact same spot. The first pair it took a few months of wearing and washing about once per week. So I ordered a second pair. The very first wear they developed the same tear as the first. I returned fhem for a replacement. The replacement pair has now also developed that same tear in the same location. This time on the third wearing & laundering.At this point it is obvious that a weak point in the fabric or construction is the problem. I am disabled and not very active. I am not working, running, or anything else crazy in these jeans.Otherwise they seem fine. If the tear wasn't in the location it is, right next to the bottom of the zipper, I wouldn't even care.",-0.8273,-0.31764705882352945,0.6486,-1.0,0.522285,5,153
train,441,AFOFYOOHCZPIACWICTPOA6JVJGNQ,9197438a968ef2bf45f9da73aaa07ba5,Electronics,5.0,4.5542731433268955,5.0,0.4457268566731045,"I am a long time user of Sony linkbuds and had a few pairs. And out of all the pairs of linkbuds overall they were good but was looking for something better. I got the Bose QC ultras and the noise cancellation on those is unmatched, but the app functionality and headphone connection issues were not like Sonys app or ambient sound control. So I returned the Bose and got these Sony XM5 buds and they are everything I hoped. No issues with them as of yet, the sound quality of the music is definitely an upgrade from the link buds. The app control and what you do with the Sony is still top for me.",0.128,-0.5,0.0,0.5622896551724138,0.145,4,116
train,843,AEKSR4POY3ODZLHANOURC4YU5ODA,c670a447539e4a806f4ca970161fbe9b,Clothing & Accessories,5.0,4.619267493478977,5.0,0.3807325065210234,"These are in fact 31x32. Not sure what the 37 represents. They fit good. I ordered 31x32 but received 31x37. They're cheap enough so I'll have them fixed. The other pairs I have, have held up so far but they're only a few months old.",0.3002,0.0,0.0,0.3002,0.056249999999999994,2,45
test,46,AGZRU5KNPRRHJOJ5M7AOR4KIFSBA,47eeb15745458f71630bee21b7876b6a,Electronics,1.0,3.8312566918417725,4.0,2.8312566918417725,"I don't understand the comments. According to the price and performance, I think this computer is overrated.",0.0,0.0,-0.9529411764705882,0.0,0.021249999999999998,3,17
test,154,AEZGF3LONGPEBHYXR6XTFQOZ2MNA,5168b1e955910fb1cf924f3017648fe3,Clothing & Accessories,1.0,3.741763133260297,4.0,2.741763133260297,"They were very nice looking sunglasses, great color. My son has the gray ones with no issues. I ordered the Denim Blue. I received the first pair and they were crooked; returned for replacement and the replacement sunglasses were crooked as well. I'm very disappointed as I really wanted to have them but couldn't wear so returning the replacement pair as well.",-0.5,-0.7943612903225806,0.0,0.3511096774193549,0.13556451612903225,2,62
test,129,AFN2PAXQQQHJJAFN3SLHRX4FO2QQ,6f57a0107ab008899252bf57db72f701,"Health, Wellness & Medical Supplies",1.0,3.648435887632079,4.0,2.648435887632079,"We purchased a unit in January of 2024. The machine worked for about a month before it started smelling like smoke and stopped working. We contacted the company and they eventually sent a technician who said the motor and control board needed replacing. After about a month, the parts came and it was replaced only for the same thing to happen within 2-3 weeks. The motor and control board were replaced several times before the company opted to send us a new unit. The new unit arrived in early August and by September the same problem happened. After a month, a technician was sent and once again said the motor and control board needed replacing. Since the warranty is only good for a year and we feared the machine would just keep breaking past the warranty period, we asked the company to simply refund the money and they said since it was purchased through Amazon they could not do it. While the customer service department has attempted to keep the units working, it doesn't change the fact that we basically have a very expensive paperweight in our house that has only worked for less than 3 months in the 10 months we have had it. We are currently in the process of trying to contact Amazon through their rather not user friendly customer service system to see if anything can be done, but we are not getting our hopes up.We have come to the conclusion that the problem is simply that the machine is not meant for daily home use as advertised. We only walked on the machine at speeds of under 3mph. The machine was lubricated and cared for according to directions, but the motor is just not powerful enough for daily use. If you are purchasing this treadmill as part of a new year's resolution and plan to only use it for 3 weeks before giving up on it or if you exercise very sporadically, then it might work for you. If you actually want to make a lifestyle change and walk on a daily basis to improve your health, then you are better off looking somewhere else. One of the many technicians that came to service the machine recommended getting a unit with at least a 4hp motor. If we decide to risk purchasing another treadmill, we will look for a better, more reliable option.",-0.8,-1.0,0.2555,-0.5638000000000001,0.159,4,400
test,17,AEQ4MVINF3FBEODOIKAR3S3WQEQA,283c1fd1b0234e4197a4ee44a4055e81,Clothing & Accessories,2.0,3.725437016389137,4.0,1.725437016389137,"Really like these pants had them for just over a month and then this happened. Unfortunately I cannot return them. So if you need a fast fashion, don’t expect it to be this fast but it was.",0.0507,-0.7663157894736843,0.0,0.0507,0.14223684210526313,3,38
test,186,AFVKU3C65O5GYELNNF4ALGXMXTYQ,02cbbd637396890472d50b96e4dec57b,"Sports, Outdoors & Travel",2.0,2.7848811132753863,3.0,0.7848811132753863,Bat broke close to the handle after being used for 6 games.,-1.0,0.0,0.0,-0.4215,0.204675,0,12
test,260,AFCURUNI4DAVOM2D55SCAWMPRNZQ,7cb9d7a6b13de51b4cbaf687bbe7fad5,Electronics,2.0,2.631552990433665,3.0,0.631552990433665,"The battery is not as good as was said in the information. In using it now for about 3 months I have discovered that the battery will only hold a charge for about 4-5 hours at best. I am very unhappy with this. The screen is crisp, colors are bright. Speed is good also. But the battery will not be able to hold a charge for 12 or 15 hours as is in the info. I only do my banking, check email, have a few word docs, and some other items. I am not a gamer nor do I have multiple tabs open at one time. I also do not have a lot of apps on my computer. If I were to fly to Hawaii the computer would be dead upon arrival. Very disappointing and not worth the money.",-1.0,0.0,-0.7478142857142858,0.058328571428571396,0.567285,5,140
test,202,AESJWOIHXOVKMSOSCNMI6AXWCZWA,13b5ea1372c61458e1e9b99ffdeba3c5,Beauty & Personal Care,3.0,4.316493445986382,4.0,1.3164934459863824,See no results yet had several weeks.. I have had other brands and seen results start in a week.,-0.296,0.0,0.0,-0.296,0.15694999999999998,3,19
test,236,AHNAZ2Z2BT3LWKTIWE2Q4BETAPOQ,d7dcb4b0eed0a8c515e1f0f74607893a,Books & Stationery,3.0,4.282506741566499,4.0,1.2825067415664986,"Really good conditions. Almost new if it wasn't for a scratch. A little one. Nothing to worry about it. What makes me rate it with 3 stars is the fact that all the information is packed within block-paragraphs. Too many detail and information in just one paragraph. You really need to read carefully and pay attention since there is no Boldface or italicized letters, not even the subtitles. It annoying how this book has all valuable information squeezed in the paragraphs.",0.43923902439024387,0.0,0.0,0.6368,0.1025,4,82
test,119,AEFNFDYWXY4LEVCIWFMZZQDHGGRQ,4369df4f9a9554f9aa65853ce304f4be,Clothing & Accessories,3.0,4.087164787785175,4.0,1.0871647877851753,I bought two pairs. This one said same size as the other pair but was a size smaller.,0.0,0.0,0.0,0.0,0.0225,3,18
test,195,AHUNCBP2CDXAN6TRWUMCGM6O6MMA,33cdd72eeae38c34285e24a0c7d2dcb1,Beauty & Personal Care,4.0,4.794148836539795,5.0,0.7941488365397946,So far I love this product and it was a great price! Definitely speaks for itself! My lashes are fuller and longer and I love it! I'm very picky with my products. Working in the quality control department has definitely made me aware of the quality and the ingredients in the products I use! This one is great!,0.4574,0.0,0.8711,0.4574,0.1725,2,58
test,111,AE6QLKMP4QMACHL4X2MRTOX6PIOQ,157016d02846bbc8d423b32f0e1794b8,Beauty & Personal Care,4.0,4.763320237718495,5.0,0.7633202377184949,I used it for dark spots and hyperpigmentation and like I said this is Fantaaaastic,0.3612,0.0,0.0,0.3612,0.01875,0,15
test,19,AEUI3KZFDWAIYASMFRP266AY7KWA,07cf887dcfcd91ae6e131c65da31f4df,Home,4.0,4.702530980562095,5.0,0.702530980562095,"I recently purchased this vacuum, and overall, I’m really impressed! The suction power is fantastic—it picks up dirt, dust, and even pet hair with ease. My carpets look brand new, and it works just as well on hardwood floors.Assembly was a breeze. I had it out of the box and ready to use in under 10 minutes. No complicated instructions or extra tools required, which is always a plus.For the price, this vacuum is an absolute steal. It performs like models that cost twice as much, so it’s definitely a great value.The only downside is the smaller cleaning head. While it’s great for tight spaces and corners, it does mean you’ll need to make more passes to cover larger areas. It’s not a dealbreaker, but it does add a little extra time to your cleaning routine.Overall, this vacuum is a solid choice for anyone looking for powerful suction and great value. If you don’t mind the smaller cleaning head, it’s definitely worth the investment!",0.9366,0.3612,0.9738,-0.2023,0.2,4,176
